text,label
"(['Breast cancer is one of the leading causes of cancer death worldwide. Recently, the computer-aided diagnosis and detection technique has been developed for the early diagnosis of breast cancer, but the diagnostic efficiency has still been a challenging issue. For this reason, we aim to improve the breast cancer diagnostic accuracy and reduce the workload of doctors in this paper by devising a deep learning framework based on histological image. Therefore, we develop a model of multi-level feature of dual-network combined with sparse multi-relation regularized learning method, which enhances the classification performance and robustness. Specifically, first, we preprocess the histological images using scale transformation and color enhancement methods. Second, the multi-level features are extracted from preprocessed images using InceptionV3-ML and ResNet-50 networks. Third, the feature selection method via sparse multi-relation regularization is further developed for performance boosting and overfitting reduction. We evaluate the proposed method based on the public ICIAR 2018 Challenge dataset of breast cancer histology images. Experimental results show that our method has achieved promising performance and outperformed the related works.'], 'Breast Cancer Image Classification via Multi-level Dual-network Features and Sparse Multi-Relation Regularized Learning.')",deep_learning
"(['Understanding the relationship between the structure of light-harvesting systems and their excitation energy transfer properties is of fundamental importance in many applications including the development of next generation photovoltaics. Natural light harvesting in photosynthesis shows remarkable excitation energy transfer properties, which suggests that pigment-protein complexes could serve as blueprints for the design of nature inspired devices. Mechanistic insights into energy transport dynamics can be gained by leveraging numerically involved propagation schemes such as the hierarchical equations of motion (HEOM). Solving these equations, however, is computationally costly due to the adverse scaling with the number of pigments. Therefore virtual high-throughput screening, which has become a powerful tool in material discovery, is less readily applicable for the search of novel excitonic devices. We propose the use of artificial neural networks to bypass the computational limitations of established techniques for exploring the structure-dynamics relation in excitonic systems. Once trained, our neural networks reduce computational costs by several orders of magnitudes. Our predicted transfer times and transfer efficiencies exhibit similar or even higher accuracies than frequently used approximate methods such as secular Redfield theory.'], 'Machine learning for quantum dynamics: deep learning of excitation energy transfer properties.')",deep_learning
"(['Diabetic Retinopathy (DR) is a disease which affect the vision ability. The observation by an ophthalmologist usually conducted by analyzing the retinal images of the patient which are marked by some DR features. However some misdiagnosis are usually found due to human error. Here, a deep learning-based low-cost embedded system is established to assist the doctor for grading the severity of the DR from the retinal images. A compact deep learning algorithm named Deep-DR-Net which fits on a small embedded board is afterwards proposed for such purposes. In the heart of Deep-DR-Net, a cascaded encoder-classifier network is arranged using residual style for ensuring the small model size. The usage of different types of convolutional layers subsequently guarantees the features richness of the network for differentiating the grade of the DR. Experimental results show the capability of the proposed system for detecting the existence as well as grading the severity of the DR symptomps.'], 'Deep learning-based Diabetic Retinopathy assessment on embedded system.')",deep_learning
"(['In this study, we show that landmark detection or face alignment task is not a single and independent problem. Instead, its robustness can be greatly improved with auxiliary information. Specifically, we jointly optimize landmark detection together with the recognition of heterogeneous but subtly correlated facial attributes, such as gender, expression, and appearance attributes. This is non-trivial since different attribute inference tasks have different learning difficulties and convergence rates. To address this problem, we formulate a novel tasks-constrained deep model, which not only learns the inter-task correlation but also employs dynamic task coefficients to facilitate the optimization convergence when learning multiple complex tasks. Extensive evaluations show that the proposed task-constrained learning (i) outperforms existing face alignment methods, especially in dealing with faces with severe occlusion and pose variation, and (ii) reduces model complexity drastically compared to the state-of-the-art methods based on cascaded deep model.'], 'Learning Deep Representation for Face Alignment with Auxiliary Attributes.')",deep_learning
"([""Synthesizing realistic profile faces is beneficial for more efficiently training deep pose-invariant models for large-scale unconstrained face recognition, by augmenting the number of samples with extreme poses and avoiding costly annotation work. However, learning from synthetic faces may not achieve the desired performance due to the discrepancy betwedistributions of the synthetic and real face images. To narrow this gap, we propose a Dual-Agent Generative Adversarial Network (DA-GAN) model, which can improve the realism of a face simulator's output using unlabeled real faces while preserving the identity information during the realism refinement. The dual agents are specially designed for distinguishing real versus fake and identities simultaneously. In particular, we employ an off-the-shelf 3D face model as a simulator to generate profile face images with varying poses. DA-GAN leverages a fully convolutional network as the generator to generate high-resolution images and an auto-encoder as the discriminator with the dual agents. Besides the novel architecture, we make several key modifications to the standard GAN to preserve pose, texture as well as identity, and stabilize the training process: (i) a pose perception loss; (ii) an identity perception loss; (iii) an adversarial loss with a boundary equilibrium regularization term. Experimental results show that DA-GAN not only achieves outstanding perceptual results but also significantly outperforms state-of-the-arts on the large-scale and challenging NIST IJB-A and CFP unconstrained face recognition benchmarks. In addition, the proposed DA-GAN is also a promising new approach for solving generic transfer learning problems more effectively. DA-GAN is the foundation of our winning entry to the NIST IJB-A face recognition competition in which we secured the $1^{st}$ places on the tracks of verification and identification.""], '3D-Aided Dual-Agent GANs for Unconstrained Face Recognition.')",deep_learning
"([""Current approaches for accurate identification, classification, and quantification of biotic and abiotic stresses in crop research and production are predominantly visual and require specialized training. However, such techniques are hindered by subjectivity resulting from inter- and intrarater cognitive variability. This translates to erroneous decisions and a significant waste of resources. Here, we demonstrate a machine learning framework's ability to identify and classify a diverse set of foliar stresses in soybean [Glycine max (L.) Merr.] with remarkable accuracy. We also present an explanation mechanism, using the top-K high-resolution feature maps that isolate the visual symptoms used to make predictions. This unsupervised identification of visual symptoms provides a quantitative measure of stress severity, allowing for identification (type of foliar stress), classification (low, medium, or high stress), and quantification (stress severity) in a single framework without detailed symptom annotation by experts. We reliably identified and classified several biotic (bacterial and fungal diseases) and abiotic (chemical injury and nutrient deficiency) stresses by learning from over 25,000 images. The learned model is robust to input image perturbations, demonstrating viability for high-throughput deployment. We also noticed that the learned model appears to be agnostic to species, seemingly demonstrating an ability of transfer learning. The availability of an explainable model that can consistently, rapidly, and accurately identify and quantify foliar stresses would have significant implications in scientific research, plant breeding, and crop production. The trained model could be deployed in mobile platforms (e.g., unmanned air vehicles and automated ground scouts) for rapid, large-scale scouting or as a mobile application for real-time detection of stress by farmers and researchers.""], 'An explainable deep machine vision framework for plant stress phenotyping.')",deep_learning
"([""Deep brain stimulation of the subthalamic nucleus (STN DBS) is an increasingly common treatment for Parkinson's disease. Qualitative reviews have concluded that diminished verbal fluency is common after STN DBS, but that changes in global cognitive abilities, attention, executive functions, and memory are only inconsistently observed and, when present, often nominal or transient. We did a quantitative meta-analysis to improve understanding of the variability and clinical significance of cognitive dysfunction after STN DBS.""], ""Cognitive sequelae of subthalamic nucleus deep brain stimulation in Parkinson's disease: a meta-analysis."")",deep_learning
"(['Deep learning has recently been applied to electrical impedance tomography (EIT) imaging. Nevertheless, there are still many challenges that this approach has to face, e.g., targets with sharp corners or edges cannot be well recovered when using circular inclusion training data. This paper proposes an iterative-based inversion method and a convolutional neural network (CNN) based inversion method to recover some challenging inclusions such as triangular, rectangular, or lung shapes, where the CNN-based method uses only random circle or ellipse training data.'], 'Dominant-Current Deep Learning Scheme for Electrical Impedance Tomography.')",deep_learning
"(['In an effort to develop quantitative biomarkers for degenerative joint disease and fill the void that exists for diagnosing, monitoring, and assessing the extent of whole joint degeneration, the past decade has been marked by a greatly increased role of noninvasive imaging. This coupled with recent advances in image processing and deep learning opens new possibilities for promising quantitative techniques. The clinical translation of quantitative imaging was previously hampered by tedious non-scalable and subjective image analysis. Osteoarthritis (OA) diagnosis using X-rays can be automated by the use of deep learning models and pilot studies showed feasibility of using similar techniques to reliably segment multiple musculoskeletal tissues and detect and stage the severity of morphological abnormalities in magnetic resonance imaging (MRI). Automation and more advanced feature extraction techniques have applications on larger more heterogeneous samples. Analyses based on voxel based relaxometry have shown local patterns in relaxation time elevations and local correlations with outcome variables. Bone cartilage interactions are also enhanced by the analysis of three-dimensional bone morphology and the potential for the assessment of metabolic activity with simultaneous Positron Emission Tomography (PET)/MR systems. Novel techniques in image processing and deep learning are augmenting imaging to be a source of quantitative and reliable data and new multidimensional analytics allow us to exploit the interactions of data from various sources. In this review, we aim to summarize recent advances in quantitative imaging, the application of image processing and deep learning techniques to study knee and hip OA. ©2018 Orthopaedic Research Society. Published by Wiley Periodicals, Inc. J Orthop Res XX:XX-XX, 2018.'], 'Translation of morphological and functional musculoskeletal imaging.')",deep_learning
"(['The important role of microRNAs (miRNAs) in the formation, development, diagnosis, and treatment of diseases has attracted much attention among researchers recently. In this study, we present an unsupervised deep learning model of the variational autoencoder for MiRNA-disease association prediction (VAEMDA). Through combining the integrated miRNA similarity and the integrated disease similarity with known miRNA-disease associations, respectively, we constructed two spliced matrices. These matrices were applied to train the variational autoencoder (VAE), respectively. The final predicted association scores between miRNAs and diseases were obtained by integrating the scores from the two trained VAE models. Unlike previous models, VAEMDA can avoid noise introduced by the random selection of negative samples and reveal associations between miRNAs and diseases from the perspective of data distribution. Compared with previous methods, VAEMDA obtained higher area under the receiver operating characteristics curves (AUCs) of 0.9118, 0.8652, and 0.9091 ± 0.0065 in global leave-one-out cross validation (LOOCV), local LOOCV, and five-fold cross validation, respectively. Further, the AUCs of VAEMDA were 0.8250 and 0.8237 in global leave-one-disease-out cross validation (LODOCV), and local LODOCV, respectively. In three different types of case studies on three important diseases, the results showed that most of the top 50 potentially associated miRNAs were verified by databases and the literature.'], 'Prediction of Potential miRNA-Disease Associations Through a Novel Unsupervised Deep Learning Framework with Variational Autoencoder.')",deep_learning
